id,code,description,total_emp,salary
271022,27-1022,Fashion designers,16460,71170
271023,27-1023,Floral designers,59530,23950
271024,27-1024,Graphic designers,201080,45340
271025,27-1025,Interior designers,52620,50190
271026,27-1026,Merchandise displayers and window trimmers,68660,27370
271027,27-1027,Set and exhibit designers,8620,47620
271029,27-1029,"Designers, all other",11890,50420
272012,27-2012,Producers and directors,72390,77070
272021,27-2021,Athletes and sports competitors,12670,71920
272022,27-2022,Coaches and scouts,165410,34720
272023,27-2023,"Umpires, referees, and other sports officials",13630,29850
272032,27-2032,Choreographers,15250,39600
272041,27-2041,Music directors and composers,9110,53970
273011,27-3011,Radio and television announcers,39500,39360
273012,27-3012,Public address system and other announcers,8490,35890
273021,27-3021,Broadcast news analysts,6550,70370
273022,27-3022,Reporters and correspondents,51620,43170
273031,27-3031,Public relations specialists,225880,57100
273041,27-3041,Editors,105920,55020
273042,27-3042,Technical writers,46740,62780
273043,27-3043,Writers and authors,44310,60120
273091,27-3091,Interpreters and translators,33680,41690
273099,27-3099,"Media and communication workers, all other",24420,45720
274011,27-4011,Audio and video equipment technicians,40360,39260
274012,27-4012,Broadcast technicians,34250,37440
274013,27-4013,Radio operators,1110,40650
274014,27-4014,Sound engineering technicians,15490,54220
274021,27-4021,Photographers,62370,34010
274031,27-4031,"Camera operators, television, video, and motion picture",19990,46570
274032,27-4032,Film and video editors,17410,61180
274099,27-4099,"Media and communication equipment workers, all other",18580,54090
290000,29-0000,Healthcare practitioners and technical occupations,6877680,65020
291011,29-1011,Chiropractors,27190,81390
291021,29-1021,"Dentists, general",85260,147010
291022,29-1022,Oral and maxillofacial surgeons,5040,178440
291023,29-1023,Orthodontists,5350,185340
291024,29-1024,Prosthodontists,380,169360
291029,29-1029,"Dentists, all other specialists",4490,120360
291031,29-1031,Dietitians and nutritionists,52800,50030
291041,29-1041,Optometrists,24900,101840
291051,29-1051,Pharmacists,253110,98960
291061,29-1061,Anesthesiologists,31030,192780
291062,29-1062,Family and general practitioners,113250,153640
291063,29-1063,"Internists, general",46260,167270
291064,29-1064,Obstetricians and gynecologists,21340,183600
291065,29-1065,"Pediatricians, general",28890,145210
291066,29-1066,Psychiatrists,21790,147620
291067,29-1067,Surgeons,50260,191410
291069,29-1069,"Physicians and surgeons, all other",237400,155150
291071,29-1071,Physician assistants,67160,77800
291081,29-1081,Podiatrists,9320,119790
291111,29-1111,Registered nurses,2468340,62480
291121,29-1121,Audiologists,11360,63660
291122,29-1122,Occupational therapists,91920,65540
291123,29-1123,Physical therapists,161850,71520
291124,29-1124,Radiation therapists,14620,71990
291125,29-1125,Recreational therapists,23240,38330
291126,29-1126,Respiratory therapists,101180,50930
291127,29-1127,Speech-language pathologists,103810,63740
291129,29-1129,"Therapists, all other",11580,52930
291131,29-1131,Veterinarians,50790,84090
291199,29-1199,"Health diagnosing and treating practitioners, all other",44350,80980
292011,29-2011,Medical and clinical laboratory technologists,163270,52410
292012,29-2012,Medical and clinical laboratory technicians,145890,36110
292021,29-2021,Dental hygienists,168600,64910
292031,29-2031,Cardiovascular technologists and technicians,46980,46530
292032,29-2032,Diagnostic medical sonographers,46770,60590
292033,29-2033,Nuclear medicine technologists,20410,65380
292034,29-2034,Radiologic technologists and technicians,200370,51150
292041,29-2041,Emergency medical technicians and paramedics,201200,30870
292051,29-2051,Dietetic technicians,24540,26680
292052,29-2052,Pharmacy technicians,301950,27560
292053,29-2053,Psychiatric technicians,60690,31640
292054,29-2054,Respiratory therapy technicians,17610,41590
292055,29-2055,Surgical technologists,86000,38800
292056,29-2056,Veterinary technologists and technicians,73240,28920
292061,29-2061,Licensed practical and licensed vocational nurses,719240,38940
292071,29-2071,Medical records and health information technicians,165590,31450
292081,29-2081,"Opticians, dispensing",62420,33480
292091,29-2091,Orthotists and prosthetists,5600,64280
292099,29-2099,"Health technologists and technicians, all other",73730,39870
299011,29-9011,Occupational health and safety specialists,46460,61310
299012,29-9012,Occupational health and safety technicians,10260,46200
299091,29-9091,Athletic trainers,14970,40720
299099,29-9099,"Healthcare practitioners and technical workers, all other",53640,47710
310000,31-0000,Healthcare support occupations,3625240,25600
311011,31-1011,Home health aides,834580,20850
311012,31-1012,"Nursing aides, orderlies, and attendants",1390260,23920
311013,31-1013,Psychiatric aides,58310,26080
312011,31-2011,Occupational therapist assistants,25130,45180
312012,31-2012,Occupational therapist aides,7640,28930
312021,31-2021,Physical therapist assistants,59120,44340
312022,31-2022,Physical therapist aides,43350,24080
319011,31-9011,Massage therapists,45920,40330
319091,31-9091,Dental assistants,283680,32280
319092,31-9092,Medical assistants,434540,28270
319093,31-9093,Medical equipment preparers,43790,27940
319094,31-9094,Medical transcriptionists,86990,32120
319095,31-9095,Pharmacy aides,49630,21120
319096,31-9096,Veterinary assistants and laboratory animal caretakers,71190,22180
319099,31-9099,"Healthcare support workers, all other",191110,29620
330000,33-0000,Protective service occupations,3087650,38750
331011,33-1011,First-line supervisors/managers of correctional officers,41000,56510
331012,33-1012,First-line supervisors/managers of police and detectives,91510,73620
331021,33-1021,First-line supervisors/managers of fire fighting and prevention workers,52160,67350
331099,33-1099,"First-line supervisors/managers, protective service workers, all other",45750,46910
332011,33-2011,Fire fighters,289710,44130
332021,33-2021,Fire inspectors and investigators,12980,52640
332022,33-2022,Forest fire inspectors and prevention specialists,1600,35770
333011,33-3011,Bailiffs,18830,38510
333012,33-3012,Correctional officers and jailers,431980,39970
333021,33-3021,Detectives and criminal investigators,103320,62500
333031,33-3031,Fish and game wardens,7500,55720
333041,33-3041,Parking enforcement workers,9910,32830
333051,33-3051,Police and sheriff's patrol officers,625880,50670
333052,33-3052,Transit and railroad police,5530,49500
